11500||1015|Calhoun County, AL|County or equivalent|118572|118572|118426|117797|-146|-629|-17|41|324|1385|341|1344|-127|-670|15|57|-142|-727|-2|0
11540|||Appleton, WI|Metropolitan Statistical Area|225666|225666|225984|227403|318|1419|336|1286|704|2750|368|1464|-16|140|37|128|-53|12|-2|-7
11540||55015|Calumet County, WI|County or equivalent|48971|48971|49019|49490|48|471|57|249|142|566|85|317|-9|222|1|24|-10|198|0|0
11540||55087|Outagamie County, WI|County or equivalent|176695|176695|176965|177913|270|948|279|1037|562|2184|283|1147|-7|-82|36|104|-43|-186|-2|-7
11700|||Asheville, NC|Metropolitan Statistical Area|424858|424859|425567|429017|708|3450|-35|-94|1063|4384|1098|4478|757|3536|175|564|582|2972|-14|8
11700||37021|Buncombe County, NC|County or equivalent|238318|238319|238846|241419|527|2573|74|258|635|2570|561|2312|454|2299|118|352|336|1947|-1|16
11700||37087|Haywood County, NC|County or equivalent|59036|59036|58974|58855|-62|-119|-44|-146|127|542|171|688|-13|31|4|12|-17|19|-5|-4
11700||37089|Henderson County, NC|County or equivalent|106740|106740|106965|107927|225|962|-51|-153|262|1105|313|1258|283|1119|50|187|233|932|-7|-4
11700||37115|Madison County, NC|County or equivalent|20764|20764|20782|20816|18|34|-14|-53|39|167|53|220|33|87|3|13|30|74|-1|0
12020|||Athens-Clarke County, GA|Metropolitan Statistical Area|192541|192541|192821|193317|280|496|274|1104|573|2328|299|1224|-3|-616|143|525|-146|-1141|9|8
12020||13059|Clarke County, GA|County or equivalent|116714|116707|116703|117344|-4|641|190|834|361|1514|171|680|-203|-198|120|433|-323|-631|9|5
12020||13195|Madison County, GA|County or equivalent|28120|28120|28177|27921|57|-256|20|97|86|336|66|239|37|-356|5|24|32|-380|0|3
12020||13219|Oconee County, GA|County or equivalent|32808|32815|33025|33366|210|341|43|155|87|327|44|172|166|187|18|68|148|119|1|-1
12020||13221|Oglethorpe County, GA|County or equivalent|14899|14899|14916|14686|17|-230|21|18|39|151|18|133|-3|-249|0|0|-3|-249|-1|1
12060|||Atlanta-Sandy Springs-Marietta, GA|Metropolitan Statistical Area|5268860|5268860|5286296|5359205|17436|72909|10310|42908|18054|74174|7744|31266|6897|29789|4456|17370|2441|12419|229|212
12060||13013|Barrow County, GA|County or equivalent|69367|69367|69724|69912|357|188|138|584|254|1055|116|471|215|-400|24|80|191|-480|4|4
12060||13015|Bartow County, GA|County or equivalent|100157|100157|100166|100421|9|255|138|546|327|1334|189|788|-133|-291|33|106|-166|-397|4|0
12060||13035|Butts County, GA|County or equivalent|23655|23655|23674|23504|19|-170|9|45|67|296|58|251|11|-217|3|11|8|-228|-1|2
12060||13045|Carroll County, GA|County or equivalent|110527|110527|110681|111159|154|478|153|687|381|1596|228|909|1|-210|57|212|-56|-422|0|1
12060||13057|Cherokee County, GA|County or equivalent|214346|214344|215245|218286|901|3041|450|1883|705|2911|255|1028|448|1166|96|330|352|836|3|-8
12060||13063|Clayton County, GA|County or equivalent|259424|259423|259641|261532|218|1891|729|2816|1073|4196|344|1380|-534|-933|225|659|-759|-1592|23|8
12060||13067|Cobb County, GA|County or equivalent|688078|688078|689749|697553|1671|7804|1426|5875|2334|9507|908|3632|233|1956|672|2527|-439|-571|12|-27
12060||13077|Coweta County, GA|County or equivalent|127317|127317|127906|129629|589|1723|220|853|406|1651|186|798|361|868|54|206|307|662|8|2
12060||13085|Dawson County, GA|County or equivalent|22330|22339|22362|22459|23|97|29|98|59|245|30|147|-5|1|2|8|-7|-7|-1|-2
12060||13089|DeKalb County, GA|County or equivalent|691893|691893|692858|699893|965|7035|1701|7011|2678|10977|977|3966|-790|-9|1025|4009|-1815|-4018|54|33
12060||13097|Douglas County, GA|County or equivalent|132403|132403|132650|133355|247|705|191|925|413|1762|222|837|57|-219|49|185|8|-404|-1|-1
12060||13113|Fayette County, GA|County or equivalent|106567|106567|107010|107784|443|774|30|121|190|803|160|682|415|670|55|191|360|479|-2|-17
12060||13117|Forsyth County, GA|County or equivalent|175511|175511|176775|181840|1264|5065|354|1425|561|2237|207|812|890|3599|89|309|801|3290|20|41
12060||13121|Fulton County, GA|County or equivalent|920581|920583|925920|949599|5337|23679|1615|7186|3161|13387|1546|6201|3643|16330|917|3783|2726|12547|79|163
12060||13135|Gwinnett County, GA|County or equivalent|805321|805321|808291|824941|2970|16650|2025|8526|2885|11828|860|3302|939|8095|919|3856|20|4239|6|29
12060||13143|Haralson County, GA|County or equivalent|28780|28780|28789|28638|9|-151|0|38|89|364|89|326|11|-191|1|9|10|-200|-2|2
12060||13149|Heard County, GA|County or equivalent|11834|11834|11856|11744|22|-112|7|-3|27|108|20|111|15|-110|1|2|14|-112|0|1
12060||13151|Henry County, GA|County or equivalent|203922|203923|205198|207360|1275|2162|300|1420|615|2607|315|1187|953|753|72|258|881|495|22|-11
12060||13159|Jasper County, GA|County or equivalent|13900|13900|13934|13885|34|-49|22|57|43|177|21|120|13|-107|7|33|6|-140|-1|1
12060||13171|Lamar County, GA|County or equivalent|18317|18317|18248|18194|-69|-54|10|11|47|213|37|202|-81|-66|1|6|-82|-72|2|1
12060||13199|Meriwether County, GA|County or equivalent|21992|21992|21863|21617|-129|-246|23|12|62|253|39|241|-154|-261|1|3|-155|-264|2|3
12060||13217|Newton County, GA|County or equivalent|99958|99958|100072|100814|114|742|156|667|338|1364|182|697|-43|80|21|91|-64|-11|1|-5
12060||13223|Paulding County, GA|County or equivalent|142324|142324|142796|143542|472|746|300|1069|471|1809|171|740|169|-323|36|119|133|-442|3|0
12060||13227|Pickens County, GA|County or equivalent|29431|29422|29448|29415|26|-33|-4|23|73|311|77|288|33|-55|4|14|29|-69|-3|-1
12060||13231|Pike County, GA|County or equivalent|17869|17869|17917|17751|48|-166|13|28|45|188|32|160|34|-195|3|12|31|-207|1|1
12060||13247|Rockdale County, GA|County or equivalent|85215|85215|85419|85765|204|346|122|490|261|1082|139|592|83|-145|67|255|16|-400|-1|1
12060||13255|Spalding County, GA|County or equivalent|64073|64073|64063|64033|-10|-30|58|221|221|890|163|669|-68|-251|12|43|-80|-294|0|0
12060||13297|Walton County, GA|County or equivalent|83768|83768|84041|84580|273|539|95|294|268|1023|173|729|181|254|10|53|171|201|-3|-9
12100|||Atlantic City-Hammonton, NJ|Metropolitan Statistical Area|274549|274549|274666|274338|117|-328|193|856|810|3411|617|2555|-74|-1196|269|805|-343|-2001|-2|12
12100||34001|Atlantic County, NJ|County or equivalent|274549|274549|274666|274338|117|-328|193|856|810|3411|617|2555|-74|-1196|269|805|-343|-2001|-2|12
12220|||Auburn-Opelika, AL|Metropolitan Statistical Area|140247|140247|140784|143468|537|2684|205|696|418|1536|213|840|325|1966|73|269|252|1697|7|22
12220||1081|Lee County, AL|County or equivalent|140247|140247|140784|143468|537|2684|205|696|418|1536|213|840|325|1966|73|269|252|1697|7|22
12260|||Augusta-Richmond County, GA-SC|Metropolitan Statistical Area|556877|556877|558385|561858|1508|3473|430|1637|1580|6433|1150|4796|1065|1800|230|507|835|1293|13|36
12260||13033|Burke County, GA|County or equivalent|23316|23316|23379|23504|63|125|64|113|87|342|23|229|0|13|3|6|-3|7|-1|-1
12260||13073|Columbia County, GA|County or equivalent|124053|124053|124934|128112|881|3178|246|809|406|1527|160|718|619|2340|53|151|566|2189|16|29
12260||13189|McDuffie County, GA|County or equivalent|21875|21875|21869|21673|-6|-196|34|75|76|320|42|245|-39|-274|4|14|-43|-288|-1|3
12260||13245|Richmond County, GA|County or equivalent|200549|200549|200889|201217|340|328|244|1277|725|3117|481|1840|98|-957|130|207|-32|-1164|-2|8
12260||45003|Aiken County, SC|County or equivalent|160099|160106|160374|160682|268|308|-138|-500|258|1016|396|1516|404|811|40|129|364|682|2|-3
12260||45037|Edgefield County, SC|County or equivalent|26985|26978|26940|26670|-38|-270|-20|-137|28|111|48|248|-17|-133|0|0|-17|-133|-1|0
12420|||Austin-Round Rock-San Marcos, TX|Metropolitan Statistical Area|1716289|1716289|1728247|1783519|11958|55272|4491|18085|6474|25973|1983|7888|7314|36803|1534|6134|5780|30669|153|384
12420||48021|Bastrop County, TX|County or equivalent|74171|74169|74401|75115|232|714|97|307|219|887|122|580|132|406|7|20|125|386|3|1
12420||48055|Caldwell County, TX|County or equivalent|38066|38066|38126|38442|60|316|47|196|120|487|73|291|14|120|10|47|4|73|-1|0
12420||48209|Hays County, TX|County or equivalent|157107|157103|158311|164050|1208|5739|326|1330|518|2079|192|749|863|4354|22|108|841|4246|19|55
12420||48453|Travis County, TX|County or equivalent|1024266|1024272|1030588|1063130|6316|32542|2880|11785|4033|16240|1153|4455|3367|20547|1255|5206|2112|15341|69|210
12420||48491|Williamson County, TX|County or equivalent|422679|422679|426821|442782|4142|15961|1141|4467|1584|6280|443|1813|2938|11376|240|753|2698|10623|63|118
12540|||Bakersfield-Delano, CA|Metropolitan Statistical Area|839631|839631|842813|851710|3182|8897|2129|9060|3450|14378|1321|5318|1040|-143|566|1965|474|-2108|13|-20
12540||6029|Kern County, CA|County or equivalent|839631|839631|842813|851710|3182|8897|2129|9060|3450|14378|1321|5318|1040|-143|566|1965|474|-2108|13|-20
12580|||Baltimore-Towson, MD|Metropolitan Statistical Area|2710489|2710489|2714546|2729110|4057|14564|2854|10941|8391|33729|5537|22788|1225|3663|1643|5004|-418|-1341|-22|-40
12580||24003|Anne Arundel County, MD|County or equivalent|537656|537656|539241|544403|1585|5162|816|3128|1724|6874|908|3746|768|2042|356|714|412|1328|1|-8
12580||24005|Baltimore County, MD|County or equivalent|805029|805029|805964|809941|935|3977|519|1989|2416|9740|1897|7751|449|2035|531|1871|-82|164|-33|-47
12580||24013|Carroll County, MD|County or equivalent|167134|167134|167247|167288|113|41|71|291|405|1608|334|1317|48|-245|26|61|22|-306|-6|-5
12580||24025|Harford County, MD|County or equivalent|244826|244826|245190|246489|364|1299|236|911|672|2700|436|1789|131|398|53|69|78|329|-3|-10
12580||24027|Howard County, MD|County or equivalent|287085|287085|288472|293142|1387|4670|532|1959|843|3302|311|1343|842|2697|280|924|562|1773|13|14
12580||24035|Queen Anne's County, MD|County or equivalent|47798|47798|47872|48354|74|482|26|130|121|459|95|329|51|351|5|21|46|330|-3|1
12580||24510|Baltimore city, MD|County or equivalent|620961|620961|620560|619493|-401|-1067|654|2533|2210|9046|1556|6513|-1064|-3615|392|1344|-1456|-4959|9|15
12620|||Bangor, ME|Metropolitan Statistical Area|153923|153921|153838|153786|-83|-52|6|99|376|1506|370|1407|-86|-146|26|100|-112|-246|-3|-5
12620||23019|Penobscot County, ME|County or equivalent|153923|153921|153838|153786|-83|-52|6|99|376|1506|370|1407|-86|-146|26|100|-112|-246|-3|-5
12700|||Barnstable Town, MA|Metropolitan Statistical Area|215888|215888|215988|215769|100|-219|-241|-993|438|1750|679|2743|355|785|112|282|243|503|-14|-11
